age,race,region,party _d,vote_id, Imperialism, Capitalism, Racism, Colonization, Infrastructure, Housing, Education, Criminal Justice, Transportation, Economy, Income/wealth, Corporate wealth, Fed/GOv't Structure, Gun Control, Banking, Voting Access, Climate Change, Child Poverty, Immigration, Misinformation, Pollution & Plastic, Indigenous Sovereignty, Weakening of Global West, Public Trust, Nationalizing, Digital literacy, AI, Homeless Rights, Welfare Systems, Civil Rights, Journalism/media, Foreign Policy, Insider Trading, Generational Wealth, Eurocentrism
35-44 ,Black or African American,Northeast,Democrat,Democrat,0,5,5,1,0,5,5,5,2,5,2,0,1,4,2,2,3,5,5,5,3,3,2,2,2,3,5,1,3,5,2,3,2,2,2
25-34 ,Prefer not to say,Northeast,Independent,Democrat,1,0,3,3,1,4,4,5,1,3,4,1,3,3,2,4,1,3,5,1,2,4,1,3,1,0,2,3,2,4,1,5,2,3,1
18-24,Black or African American,Northeast,Democrat,Democrat,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,1,2,3,3,2,3,5,5,5,3,3,2,3,5
18-24 ,White or Caucasian,Northeast,Independent,Democrat,4,1,5,2,4,5,5,5,5,5,5,5,3,3,4,1,5,5,1,3,4,4,3,2,3,3,5,5,5,5,5,5,2,5,5
25-34 ,White or Caucasian,Northeast,Democrat,Democrat,1,2,5,5,5,5,5,5,5,5,5,5,5,3,2,3,3,5,1,5,5,5,5,2,3,2,5,5,5,5,5,2,2,5,5
45-54 ,American Indian/Native American or Alaska Native,Northeast,Independent,Republican,0,0,0,0,4,5,4,3,0,3,3,0,0,3,4,3,5,4,5,1,5,5,1,5,3,0,2,0,0,5,0,3,1,3,4
55-64,White or Caucasian,Southeast,Democrat,Democrat,5,5,5,4,5,5,5,5,5,2,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,4,2,5,5,5,5,4,4,5,4
25-34 ,Black or African American,Northeast,Republican,None,1,4,5,2,4,4,1,2,0,4,0,5,2,1,5,5,4,2,1,3,1,0,0,0,2,0,5,1,1,3,5,1,5,2,3
25-34 ,Black or African American,Northeast,Democrat,Democratic,5,5,5,5,3,5,3,5,1,5,5,5,5,5,2,4,5,5,5,5,5,3,1,4,4,5,2,5,5,3,5,0,2,5,5
18-24 ,Other,Northeast,Democrat,None,5,5,5,5,4,5,5,5,3,5,5,5,5,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5
25-34,White or Caucasian,West,Independent,Independent,2,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,5,5,5,3,5,5,5
18-24 ,White or Caucasian,Northeast,Democrat,Republican,1,3,3,0,3,3,1,2,1,4,3,5,1,5,0,1,4,0,0,4,4,1,0,4,3,0,2,1,0,1,1,2,1,2,2
25-34 ,Other,Northeast,Democrat,Democrat,3,5,5,5,2,5,5,2,2,5,5,5,4,5,1,3,5,5,5,5,5,1,2,4,5,1,2,4,5,5,2,3,5,5,5
18-24 ,Black or African American,Northeast,Democrat,None,5,5,5,5,3,4,2,3,3,5,4,4,4,5,3,3,5,3,4,4,4,4,3,3,3,3,2,2,3,3,3,3,3,3,3
35-44 ,White or Caucasian,Northeast,Democrat,Independent,3,2,2,3,4,3,4,3,5,3,4,1,3,2,5,3,4,5,3,5,5,2,5,5,5,5,3,2,3,3,3,4,5,3,2
18-24 ,White or Caucasian,Midwest,Democrat,None,2,3,3,3,2,3,3,4,3,4,4,3,2,5,2,3,4,4,5,3,4,3,2,3,3,3,3,4,3,2,3,3,4,3,3
45-54 ,White or Caucasian,Northeast,Indepdent,None,0,3,4,3,4,4,4,4,3,2,3,2,3,3,2,4,4,4,0,5,4,0,0,4,0,0,0,0,2,4,1,1,1,1,5
25-34 ,White or Caucasian,Southeast,Democrat,Independent,0,3,3,5,5,5,5,4,4,4,3,5,4,3,3,3,2,3,1,5,2,1,0,3,3,2,4,0,2,5,3,0,1,1,1
35-44 ,Black or African American,Northeast,Democrat,Democrat,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,4,5,4,4,4,0,4,4,4,4,4,5,4,4,4
25-34,Asian,Northeast,Democrat,None,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
