,Imperialism,Capitalism,Racism,Colonizaton,Housing,Education,Infrastructure,Total
Imperialism,10,15,12,5,4,5,5,56
Capitalism,9,10,12,4,3,5,3,46
Racism,9,10,9,5,3,5,3,44
Colonization,8,9,9,4,2,3,2,37
Infrastructure,4,7,7,2,6,5,4,35
Housing,5,8,9,3,3,3,3,34
Education,7,8,11,3,2,4,2,37
Criminal Justice,6,8,11,3,2,4,2,36
Transportation,2,6,8,2,3,2,3,26
Economy,6,8,7,2,2,3,2,30
Income/wealth,7,8,9,2,4,4,4,38
Corporate wealth,7,9,8,2,2,2,3,33
Fed/Gov't Structure,7,8,9,2,2,3,3,34
Gun Control,3,7,6,2,2,3,2,25
Banking,5,8,6,2,2,2,2,27
Voting Access,3,8,9,3,3,3,2,31
Climate Change,6,7,4,2,2,3,4,28
Child Poverty,5,6,9,2,3,2,3,30
Immigration,7,8,9,3,2,3,3,35
Misinformation,7,9,8,1,1,3,2,31
Pollution & Plastic,2,6,4,3,1,2,3,21
Indigenous Sovereignty,5,5,8,2,2,2,2,26
Weakening of Global West,5,5,4,2,1,1,1,19
Public Trust,4,6,6,3,1,3,2,25
Nationalizing,4,5,7,1,1,2,2,22
Digital lit,2,5,5,2,1,3,3,21
AI,2,7,4,2,1,4,3,23
Homeless Rights,4,7,9,2,3,3,3,31
Welfare Systems,4,8,9,2,3,3,3,32
Civil Rights,6,9,9,2,2,3,3,34
Journalism/media,5,9,9,3,3,3,2,34
Foreign Policy,7,8,6,3,2,2,2,30
Insider Trading,6,8,5,3,3,2,3,30
Generational Wealth,6,11,8,3,2,2,2,34
Eurocentrism,10,8,9,4,2,2,2,37
