,Banking,Voting Access,Climate Change,Child Poverty,Nationalizing,Digital lit,AI,Total
Imperialism,9,4,8,4,11,5,5,46
Capitalism,8,7,5,6,9,5,6,46
Racism,10,9,5,10,10,7,6,57
Colonization,9,7,7,8,10,5,4,50
Infrastructure,6,7,7,6,6,5,3,40
Housing,7,7,6,11,8,6,4,49
Education,8,9,7,9,7,8,9,57
Criminal Justice,7,8,4,10,8,7,6,50
Transportation,6,8,8,6,8,4,4,44
Economy,10,8,7,8,9,7,6,55
Income/wealth,10,7,3,9,6,5,3,43
Corporate wealth,9,6,6,7,8,6,6,48
Fed/Gov't Structure,10,9,6,6,9,4,5,49
Gun Control,5,5,4,4,8,2,3,31
Banking,7,5,4,5,5,5,3,34
Voting Access,5,6,2,6,9,5,3,36
Climate Change,4,4,5,4,5,3,3,28
Child Poverty,5,5,4,7,7,6,2,36
Immigration,4,6,5,7,9,5,2,38
Misinformation,3,4,3,2,7,8,7,34
Pollution & Plastic,3,3,9,4,4,3,4,30
Indigenous Sovereignty,4,5,4,5,8,2,2,30
Weakening of Global West,5,5,6,4,7,3,4,34
Public Trust,5,3,6,6,7,5,5,37
Nationalizing,4,5,4,5,6,3,2,29
Digital literacy,3,4,3,3,6,4,5,28
AI,5,5,4,2,4,7,4,31
Homeless Rights,6,8,7,6,5,2,3,37
Welfare Systems,6,7,6,8,6,2,3,38
Civil Rights,7,8,7,8,7,5,5,47
Journalism/media,4,5,3,3,7,6,6,34
Foreign Policy,5,5,7,5,8,5,4,39
Insider Trading,4,2,2,2,7,5,5,27
Generational Wealth,6,6,4,4,7,4,2,33
Eurocentrism,4,4,3,2,8,5,3,29
