,Immigration,Misinformation,Pollution & Plastic,Indigenous Sovereignty,Weakening of Global West,Public Trust,Homeless Rights,Total
Imperialism,10,10,6,7,8,6,3,50
Capitalism,7,7,8,5,8,5,6,46
Racism,10,10,5,6,7,7,9,54
Colonization,8,6,5,9,8,6,6,48
Infrastructure,4,5,4,5,3,5,6,32
Housing,7,8,5,7,3,5,8,43
Education,9,8,3,4,2,6,5,37
Criminal Justice,6,4,3,5,4,4,6,32
Transportation,3,4,5,4,3,5,5,29
Economy,8,8,5,4,5,7,4,41
Income/wealth,5,4,5,7,3,5,5,34
Corporate wealth,4,5,6,5,4,4,3,31
Fed/GOv't Structure,5,6,4,5,4,6,3,33
Gun Control,5,5,3,4,5,7,4,33
Banking,3,4,3,5,5,7,3,30
Voting Access,4,6,3,4,3,7,5,32
Climate Change,5,4,8,4,4,4,3,32
Child Poverty,6,5,5,5,5,6,7,39
Immigration,6,5,4,5,4,4,5,33
Misinformation,6,5,4,4,3,5,4,31
Pollution & Plastic,4,3,4,5,4,6,4,30
Indigenous Sovereignty,4,4,4,6,3,7,4,32
Weakening of Global West,4,5,3,3,5,6,4,30
Public Trust,5,7,4,3,4,5,4,32
Nationalizing,4,3,4,5,5,4,3,28
Digital literacy,1,4,2,2,3,4,3,19
AI,4,6,2,2,2,7,2,25
Homeless Rights,3,4,4,4,3,4,5,27
Welfare Systems,5,5,5,4,4,5,6,34
Civil Rights,7,5,3,5,4,5,5,34
Journalism/media,3,6,4,5,4,6,4,32
Foreign Policy,7,4,5,5,4,4,3,32
Insider Trading,2,4,3,2,4,5,4,24
Generational Wealth,5,4,3,4,4,5,4,29
Eurocentrism,6,7,4,5,4,6,6,38
