,Welfare Systems,Civil Rights,Journalism/media,Foreign Policy,Insider Trading,Generational Wealth,Eurocentrism,Total
Imperialism,8,10,6,10,4,4,8,50
Capitalism,5,6,4,8,7,6,7,43
Racism,10,9,6,7,6,7,8,53
Colonization,3,8,4,7,4,4,8,38
Infrastructure,7,6,4,3,5,4,7,36
Housing,7,7,4,2,4,5,5,34
Education,8,7,6,4,3,6,6,40
Criminal Justice,8,8,5,3,4,5,5,38
Transportation,6,7,2,3,2,7,5,32
Economy,8,5,4,6,7,6,6,42
Income/wealth,6,5,6,3,8,8,5,41
Corporate wealth,5,6,5,6,6,7,5,40
Fed/GOv't Structure,5,7,7,7,5,6,5,42
Gun Control,2,6,5,4,4,3,5,29
Banking,6,5,4,5,8,6,4,38
Voting Access,4,8,6,3,4,5,5,35
Climate Change,4,4,5,6,3,6,5,33
Child Poverty,8,8,4,5,4,4,5,38
Immigration,4,7,3,6,2,2,4,28
Misinformation,4,4,7,5,4,4,4,32
Pollution & Plastic,4,4,4,4,2,3,5,26
Indigenous Sovereignty,5,4,4,6,4,3,6,32
Weakening of Global West,3,4,5,6,4,3,6,31
Public Trust,7,6,5,4,5,3,5,35
Nationalizing,5,5,4,7,3,4,5,33
Digital literacy,5,4,5,3,4,3,6,30
AI,4,5,8,5,5,2,6,35
Homeless Rights,8,7,5,3,2,4,3,32
Welfare Systems,4,6,5,5,4,5,3,32
Civil Rights,8,6,5,4,3,4,5,35
Journalism/media,5,5,6,6,4,4,4,34
Foreign Policy,3,3,6,5,6,5,6,34
Insider Trading,4,3,5,6,3,5,5,31
Generational Wealth,5,6,3,5,5,5,5,34
Eurocentrism,5,4,3,4,3,3,5,27
